,0
0,0.8678258826377689
1,0.8652037136336296
2,0.8629979306665816
3,0.8636635326751821
4,0.8665574319075552
5,0.8710687925168545
6,0.8687967363710076
7,0.8607218358532015
8,0.8647696566622465
9,0.8660038830880616
10,0.8595140030661705
11,0.8589032787538484
12,0.8659796984766387
13,0.8678039323195404
14,0.8675705050663005
15,0.8666653069492325
16,0.8649894835477234
17,0.8643401246813666
18,0.8600659880379244
19,0.8593166706077785
20,0.8670493044991268
21,0.8554300292277944
22,0.8611988104384738
23,0.8570725427709422
24,0.8622006126599197
25,0.8679275451743395
26,0.8625538410127142
27,0.8662155601723888
28,0.8592340305613354
29,0.8667912411169594
30,0.8613902468792118
31,0.8571279101033287
32,0.8660278276867323
33,0.869783757306971
34,0.8665387535285628
35,0.8690832813141908
36,0.866371945428981
37,0.8625813436879245
38,0.864288802152478
39,0.8643200415282623
40,0.8644144899767606
41,0.8693527553575505
42,0.8694758209394567
43,0.8645427562416621
44,0.8651053640327749
45,0.8670699914401867
46,0.8610251911058217
47,0.8581923274231114
48,0.8614155029036248
49,0.8606484772055971
