,0
0,0.8721203192752638
1,0.8734405988478009
2,0.8733991464239765
3,0.8722184887262809
4,0.8693734405652858
5,0.8736820925151142
6,0.8733431639244684
7,0.8722383295150123
8,0.8719249915431537
9,0.8730155571626296
10,0.8711204901550627
11,0.8723156237820551
12,0.8723371526340874
13,0.8726976891548333
14,0.8738679192848151
15,0.8690081430216765
16,0.8689386394391868
17,0.8710740139944579
18,0.872339754636975
19,0.8723227198126783
20,0.8710416582572312
21,0.8719872698374407
22,0.8743610168149333
23,0.8722953224318601
24,0.8717707176105384
25,0.8726216359160655
26,0.8715538226593599
27,0.8731782486089559
28,0.870557299262755
29,0.872552411001512
30,0.87223259703713
31,0.8731665600609327
32,0.8735851270921889
33,0.8722691971314969
34,0.8726742893199325
35,0.8725758891024415
36,0.8703847195146923
37,0.8730305678755287
38,0.8734726254910777
39,0.8707153262866816
40,0.8727642799419523
41,0.8738420619481923
42,0.8712764966671629
43,0.8710021600560764
44,0.8735676619038554
45,0.8706872927857917
46,0.8736278224920483
47,0.8702410026166225
48,0.8734280897401857
49,0.8725754637382158
